loss,acc
2.0799,0.1191
2.0761,0.1445  
2.0680,0.1354
2.0544,0.1294
2.0260,0.1371
1.9980,0.1465
1.9750,0.1599
1.9493,0.1721
1.9291,0.1823
1.9181,0.1857
1.9028,0.1960
1.8875,0.2000
1.8709,0.2061
1.8544,0.2097
1.8382,0.2137
1.8225,0.2159
1.8054,0.2190
1.7887,0.2232
1.7753,0.2253
1.7644,0.2276
1.7537,0.2306
1.7412,0.2346
1.7325,0.2384
1.7228,0.2419
1.7114,0.2452
1.7023,0.2456 
1.6938,0.2473
1.6859,0.2488
1.6763,0.2523
1.6682,0.2553
1.6600,0.2595
1.6511,0.2640
1.6436,0.2683
1.6359,0.2719
1.6269,0.2758
1.6168,0.2801
1.6109,0.2824
1.6005,0.2873
1.5941,0.2908
1.5868,0.2950
1.5802,0.2987
1.5735,0.3021
1.5656,0.3057
1.5597,0.3080
1.5543,0.3109
1.5474,0.3139
1.5409,0.3177
1.5337,0.3210
1.5287,0.3241
1.5234,0.3264
1.5161,0.3295
1.5120,0.3314
1.5079,0.3334
1.5033,0.3360
1.4970,0.3391
1.4909,0.3421
1.4854,0.3446
1.4803,0.3474
1.4746,0.3500
1.4691,0.3528
1.4638,0.3555
1.4579,0.3580
1.4535,0.3602
1.4491,0.3627
1.4446,0.3650
1.4399,0.3673
1.4345,0.3702
1.4296,0.3722
1.4259,0.3741
1.4203,0.3765
1.4158,0.3786
1.4118,0.3806
1.4067,0.3832
1.4029,0.3849
1.3994,0.3868
1.3956,0.3886
1.3919,0.3902
1.3879,0.3925
1.3839,0.3944
1.3799,0.3968
1.3759,0.3989
1.3724,0.4007
1.3688,0.4026
1.3647,0.4045
1.3597,0.4068
1.3555,0.4089
1.3522,0.4105
1.3488,0.4124
1.3455,0.4141
1.3418,0.4156
1.3378,0.4175
1.3346,0.4189
1.3305,0.4209
1.3270,0.4232
1.3237,0.4249
1.3206,0.4263
1.3166,0.4284
1.3136,0.4302
1.3098,0.4319
1.3058,0.4338
1.3019,0.4358
1.2989,0.4373
1.2954,0.4390
1.2910,0.4411
1.2877,0.4429
1.2845,0.4445
1.2813,0.4460
1.2785,0.4473
1.2753,0.4489
1.2723,0.4502
1.2689,0.4521
1.2656,0.4536
1.2627,0.4549
1.2591,0.4568
1.2560,0.4582
1.2530,0.4593
1.2497,0.4608
1.2467,0.4620
1.2435,0.4634
1.2409,0.4649
1.2381,0.4665
1.2355,0.4678
1.2323,0.4691
1.2292,0.4706
1.2270,0.4715
1.2247,0.4725
1.2225,0.4735
1.2202,0.4747
1.2186,0.4755
1.2165,0.4765
1.2144,0.4774
1.2128,0.4782
1.2110,0.4792
1.2087,0.4801
1.2066,0.4812
1.2044,0.4823
1.2028,0.4832
1.2007,0.4842
1.1985,0.4853
1.1966,0.4863
1.1944,0.4871
1.1923,0.4880
1.1904,0.4888
1.1882,0.4898
1.1862,0.4907
1.1840,0.4916
1.1819,0.4925
1.1805,0.4932
1.1790,0.4938
1.1768,0.4947
1.1744,0.4957
1.1724,0.4967
1.1708,0.4975
1.1693,0.4982
1.1677,0.4989
1.1663,0.4996
1.1644,0.5004
1.1622,0.5013
1.1606,0.5022
1.1588,0.5031
1.1567,0.5039
1.1551,0.5047
1.1531,0.5055
1.1510,0.5064
1.1490,0.5072
1.1472,0.5082
1.1455,0.5090
1.1441,0.5097
1.1424,0.5104
1.1409,0.5111
1.1391,0.5119
1.1370,0.5128
1.1354,0.5134
1.1337,0.5141
1.1322,0.5149
1.1305,0.5156
1.1289,0.5164
1.1276,0.5170
1.1259,0.5178
1.1241,0.5185
1.1225,0.5193
1.1211,0.5200
